Inflect òbchòdzony | V;PPART;PASS;MPL	òbchòdzoné
Inflect akòrdión | N;GEN(FEM,SG)	akòrdióna
Inflect apartnosc | N;DAT(PL)	apartnoscë
Inflect fòrmacëjô | N;GEN(SG)	fòrmace
Inflect skôrb | N;NOM(MASC,SG)	skôrb
Inflect Miastk | N;GEN(SG)	Miastka
Inflect jinstrumentarium | N;NOM(SG)	jinstrumentarium
Inflect Ptôszczi | N;DIM;NOM(PL)	ptôszk
Inflect gad | N;GEN(PL)	gadów
Inflect statuta | N;F;ACC(PL)	statutë
Inflect przedstôwca | N;GEN(PL)	przedstôwców
Inflect Zlikwidowac | V;INF	Zlikwidowac
Inflect Sagittaria | N;F;NOM(SG)	Sagittaria
Inflect doczëzna | N;ACC(SG)	doczëznã
Inflect wilgòtny | ADJ;ACC(MASC,PL)	wilgòtnych
Inflect officinale | ADJ;VOC(MASC,SG)	officinale
Inflect jeléń | N;NOM(SG)	jeléń
Inflect Mòżnô | ADV	Mòżnô
Inflect zafelowac | V;INF	zafelowac
Inflect Pekinie | N;LOC;SG	Pekinie
Inflect Gduńsk | N;LOC;SG	Gduńskù
Inflect krez | N;GEN(PL)	krezów
Inflect głôdkô | ADJ;NOM(FEM,SG)	głôdkò
Inflect òtãpienienié | N;GEN(SG)	òtãpieniégò
Inflect rola | N;F;NOM(SG)	rola
Inflect brëkùnk | N;GEN(SG)	brëkùnkù
Inflect zgrzewac | V;INF	zgrzewac
Inflect Myślibórz | N;NOM(SG,MASC)	Myślibórz
Inflect Radela | N;FEM;SG	Radela
Inflect kaplica | N;NOM(PL)	kaplëcë
Inflect Monachium | N;NOM(SG)	Monachium
Inflect Cząd | N;NOM(MASC,SG)	Cząd
Inflect Jabłonowy | ADJ;GEN(MASC,PL)	Jabònowich
Inflect Chinowié | N;NOM(PL)	Chinowié
Inflect granëca | N;NOM(FEM,SG)	grańca
Inflect Pòlemika | N;F;ACC(SG)	Pòlemikã
Inflect ùszłégò | ADJ;VOC(MASC,SG)	ùszłégò
Inflect mùzeum | N;GEN(SG)	mùzea
Inflect póstrzód | ADV	póstrzód
Inflect wëłączëc | V;NFIN	wëłączaniégò
