Inflect zacny | ADJ;ACC(SG,FEM)	zacną
Inflect zacny | ADJ;INS(SG,FEM)	zacną
Inflect zacny | ADJ;NOM(SG,FEM)	zacna
Inflect zacny | ADJ;ACC(PL)	zacne
Inflect zacny | ADJ;ACC(SG,NEUT)	zacne
Inflect zacny | ADJ;NOM(SG,NEUT)	zacne
Inflect zacny | ADJ;ACC(SG,MASC,ANIM)	zacnego
Inflect zacny | ADJ;GEN(SG,MASC)	zacnego
Inflect zacny | ADJ;ACC(SG,MASC,HUM)	zacnego
Inflect zacny | ADJ;DAT(SG,FEM)	zacnej
Inflect zacny | ADJ;ESS(SG,FEM)	zacnej
Inflect zacny | ADJ;GEN(SG,FEM)	zacnej
Inflect zacny | ADJ;DAT(SG,MASC)	zacnemu
Inflect zacny | ADJ;NOM(PL,MASC,HUM)	zacni
Inflect zacny | ADJ;ESS(PL)	zacnych
Inflect zacny | ADJ;GEN(PL)	zacnych
Inflect zacny | ADJ;ACC(PL,MASC,HUM)	zacnych
Inflect zacny | ADJ;DAT(PL)	zacnym
Inflect zacny | ADJ;ESS(SG,MASC)	zacnym
Inflect zacny | ADJ;INS(SG,MASC)	zacnym
Inflect zacny | ADJ;INS(PL)	zacnymi
Inflect native speakerka | N;DAT(SG)	native speakerce
Inflect native speakerka | N;ESS(SG)	native speakerce
Inflect native speakerka | N;ESS(PL)	native speakerkach
Inflect native speakerka | N;INS(PL)	native speakerkami
Inflect native speakerka | N;INS(SG)	native speakerką
Inflect native speakerka | N;ACC(SG)	native speakerkę
Inflect native speakerka | N;ACC(PL)	native speakerki
Inflect native speakerka | N;GEN(SG)	native speakerki
Inflect native speakerka | N;VOC(PL)	native speakerki
Inflect native speakerka | N;DAT(PL)	native speakerkom
Inflect native speakerka | N;VOC(SG)	native speakerko
Inflect trącić | V;COND;3;SG;FEM	trąciłaby
Inflect endorfina | N;INS(PL)	endorfinami
Inflect endorfina | N;NOM(SG)	endorfina
Inflect endorfina | N;ACC(SG)	endorfinę
Inflect endorfina | N;DAT(SG)	endorfinie
Inflect endorfina | N;GEN(PL)	endorfin
Inflect endorfina | N;DAT(PL)	endorfinom
Inflect endorfina | N;VOC(SG)	endorfino
Inflect endorfina | N;ACC(PL)	endorfiny
Inflect endorfina | N;GEN(SG)	endorfiny
Inflect mosiężny | ADJ;ACC(SG,FEM)	mosiężną
Inflect mosiężny | ADJ;INS(SG,FEM)	mosiężną
Inflect mosiężny | ADJ;NOM(SG,FEM)	mosiężna
Inflect mosiężny | ADJ;ACC(PL)	mosiężne
Inflect mosiężny | ADJ;ACC(SG,NEUT)	mosiężne
Inflect mosiężny | ADJ;ACC(SG,MASC,ANIM)	mosiężnego
Inflect mosiężny | ADJ;GEN(SG,MASC)	mosiężnego
Inflect mosiężny | ADJ;ACC(SG,MASC,HUM)	mosiężnego
Inflect mosiężny | ADJ;DAT(SG,FEM)	mosiężnej
Inflect mosiężny | ADJ;ESS(SG,FEM)	mosiężnej
Inflect mosiężny | ADJ;GEN(SG,FEM)	mosiężnej
Inflect mosiężny | ADJ;DAT(SG,MASC)	mosiężnemu
Inflect mosiężny | ADJ;DAT(SG,NEUT)	mosiężnemu
Inflect mosiężny | ADJ;NOM(PL,MASC,HUM)	mosiężni
Inflect mosiężny | ADJ;ACC(SG,MASC,INAN)	mosiężny
Inflect mosiężny | ADJ;ESS(PL)	mosiężnych
Inflect mosiężny | ADJ;GEN(PL)	mosiężnych
Inflect mosiężny | ADJ;ACC(PL,MASC,HUM)	mosiężnych
Inflect mosiężny | ADJ;DAT(PL)	mosiężnym
Inflect mosiężny | ADJ;ESS(SG,MASC)	mosiężnym
Inflect mosiężny | ADJ;INS(SG,MASC)	mosiężnym
Inflect mosiężny | ADJ;ESS(SG,NEUT)	mosiężnym
Inflect mosiężny | ADJ;INS(SG,NEUT)	mosiężnym
Inflect samochód | N;ESS(PL)	samochodach
Inflect samochód | N;INS(PL)	samochodami
Inflect samochód | N;INS(SG)	samochodem
Inflect samochód | N;NOM(SG)	samochód
Inflect samochód | N;DAT(PL)	samochodom
Inflect samochód | N;DAT(SG)	samochodowi
Inflect samochód | N;GEN(PL)	samochodów
Inflect samochód | N;VOC(PL)	samochody
Inflect samochód | N;ESS(SG)	samochodzie
Inflect samochód | N;VOC(SG)	samochodzie
Inflect ostrożny | ADJ;INS(SG,FEM)	ostrożną
